Vendedor_Responsavel,total_vendas,total_comissao,carros_vendidos
AARON COLEMAN,33815.0,1704.8,1
AARON COLLINS,35029.0,2063.01,1
AARON CONTRERAS,15586.0,1553.17,1
AARON COOK,11007.0,1149.85,1
AARON COOPER,52745.0,4930.75,2
AARON COPELAND,13184.0,1472.07,1
AARON CRAWFORD,24409.0,2146.52,1
AARON CRUZ,56101.0,5993.74,3
AARON CURRY,12315.0,1261.43,1
AARON DANIELS,15666.0,2326.69,1
AARON DAUGHERTY,49404.0,4407.76,1
AARON DAVIS,192026.0,22527.38,5
AARON DAWSON,34883.0,3878.1,1
AARON DAY,16520.0,2263.37,1
AARON DEAN,37646.0,5183.459999999999,2
AARON DELEON,42536.0,5392.24,1
AARON DIAZ,99442.0,11148.53,3
AARON DIXON,40455.0,2025.41,1
AARON DOUGHERTY,14384.0,1118.01,1
AARON DUNN,10168.0,1062.7,1
AARON EDWARDS,39053.0,3846.19,1
AARON ELLIS,28294.0,2391.27,2
AARON ERICKSON,19912.0,1143.9,1
AARON ESTRADA,17045.0,2358.32,1
AARON EWING,46456.0,6618.31,1
AARON FARMER,12785.0,1224.13,1
AARON FERRELL,17187.0,2278.53,1
AARON FIELDS,39069.0,4812.37,1
AARON FISHER,55613.0,6595.03,2
AARON FLETCHER,32258.0,4668.98,1
AARON FLORES,13856.0,1200.17,1
AARON FORD,32968.0,1675.19,1
AARON FORD DVM,36028.0,4933.53,1
AARON FOX,24514.0,1598.84,1
AARON FRANCIS,10285.0,1058.38,1
AARON FRAZIER,48794.0,3306.47,1
AARON FRAZIER JR.,48929.0,5793.38,1
AARON FREEMAN,11801.0,890.64,1
AARON FRIEDMAN,37511.0,4193.26,1
AARON FRYE,14305.0,1483.4,1
AARON FUENTES,46030.0,4172.7,2
AARON GALLAGHER,37320.0,3682.66,1
AARON GARCIA,185777.0,17359.25,7
AARON GARDNER,27028.0,3492.53,1
AARON GEORGE,11475.0,1353.41,1
AARON GILLESPIE,13231.0,757.47,1
AARON GLENN,40456.0,3592.48,1
AARON GOMEZ,38814.0,3277.85,1
AARON GONZALES,59543.0,7855.03,2
AARON GONZALEZ,75118.0,7127.72,2
AARON GOODWIN,28659.0,2866.02,1
AARON GRANT,41613.0,2778.23,1
AARON GREEN,27716.0,2330.25,1
AARON GRIFFIN,28953.0,2153.56,1
AARON GRIFFITH,26274.0,2486.76,1
AARON GUERRA,20551.0,2154.21,1
AARON GUERRERO,72599.0,6820.23,2
AARON GUTIERREZ,47886.0,3214.33,2
AARON HALL,11548.0,1473.78,1
AARON HAMILTON,25038.0,2528.11,1
AARON HAMPTON,48195.0,3948.67,1
AARON HANSON,50091.0,3300.46,2
AARON HARDING,47491.0,3378.71,1
AARON HARDY,30128.0,2019.55,1
AARON HARRIS,85387.0,9929.91,3
AARON HARRISON,22283.0,2565.43,1
AARON HAWKINS,38775.0,2418.17,1
AARON HAYES,61541.0,8117.320000000001,2
AARON HENRY,42202.0,4580.46,2
AARON HENSON,49811.0,5923.8,1
AARON HERNANDEZ,69587.0,8333.51,2
AARON HERRERA,22061.0,3032.43,1
AARON HESTER,33208.0,4828.96,1
AARON HIGGINS,39104.0,2257.44,1
AARON HILL,69489.0,8867.25,2
AARON HOBBS,14472.0,941.66,1
AARON HODGES,20597.0,2547.62,1
AARON HOFFMAN,36897.0,4591.06,1
AARON HOLLAND,28669.0,3481.39,1
AARON HOLMES,42862.0,4418.86,1
AARON HORN,18472.0,1577.58,1
AARON HOWELL,25362.0,3752.88,1
AARON HUBER,20849.0,2112.51,1
AARON HUGHES,36311.0,2684.7,1
AARON HULL,34118.0,4103.56,1
AARON HUNT,23355.0,1982.95,1
AARON HUNTER,20810.0,2374.73,1
AARON HUTCHINSON,42517.0,3938.05,1
AARON JACKSON,58442.0,4882.82,3
AARON JAMES,32720.0,4862.14,1
AARON JENSEN,10385.0,1467.09,1
AARON JIMENEZ,86917.0,7103.33,2
AARON JOHNSON,277252.0,28382.85,9
AARON JONES,96966.0,9694.43,3
AARON JONES MD,31001.0,4007.28,1
AARON JORDAN PHD,47043.0,3279.26,1
AARON JOSEPH,15941.0,1526.4,1
AARON KELLEY,36468.0,4109.18,1
AARON KELLY,124415.0,14249.36,3
AARON KENNEDY,32050.0,3942.01,1
AARON KENT,19158.0,2338.85,1
AARON KIDD,36801.0,2827.4,1
AARON KIM,20642.0,1962.13,1
AARON KING,88290.0,8499.74,3
AARON KNAPP,14170.0,1531.97,1
AARON LANE,18469.0,1507.19,1
AARON LEE,56700.0,7211.150000000001,2
AARON LEONARD,10157.0,1086.95,1
AARON LEWIS,52994.0,5537.62,2
AARON LONG,63357.0,3820.62,2
AARON LOPEZ,94528.0,7192.85,3
AARON LOZANO,40954.0,3158.1,1
AARON LUCAS,72460.0,7733.89,2
AARON LUNA,33864.0,4109.51,1
AARON LYNCH,27508.0,3915.38,1
AARON MACDONALD,38118.0,5523.15,1
AARON MALDONADO,20617.0,1854.16,1
AARON MARQUEZ,15800.0,2365.21,1
AARON MARSH,31202.0,2896.94,1
AARON MARSHALL,36355.0,4336.61,1
AARON MARTIN,161004.0,13657.54,5
AARON MARTINEZ,32349.0,3273.26,3
AARON MATA,44645.0,4908.49,1
AARON MATTHEWS,36025.0,3718.09,1
AARON MCCARTY MD,16143.0,2319.08,1
AARON MCCLAIN,35471.0,3531.88,1
AARON MCDONALD,35212.0,3416.59,1
AARON MCDOWELL,36695.0,2180.6,1
AARON MCGEE,41626.0,2494.85,1
AARON MCKEE,38257.0,3956.1,1
AARON MEDINA,44444.0,6629.4,1
AARON MENDEZ,32608.0,3042.93,1
AARON MENDOZA,42217.0,4856.92,1
AARON MERCADO,16776.0,1473.64,1
AARON MEYER,19731.0,1632.29,1
AARON MILLER,204427.0,23037.64,7
AARON MITCHELL,21590.0,2794.18,1
AARON MONTES,32732.0,2381.41,1
AARON MONTGOMERY,16354.0,2385.6,1
AARON MOON,19852.0,2955.5,1
AARON MOORE,45020.0,4222.45,2
AARON MORALES,40805.0,2499.24,1
AARON MORAN,10085.0,964.06,1
AARON MORGAN,25755.0,3268.54,1
AARON MORRIS,65703.0,6196.66,3
AARON MORRISON,32552.0,2010.42,1
AARON MORROW,39983.0,4536.33,1
AARON MUELLER,37342.0,3467.71,1
AARON MUNOZ,20701.0,1729.45,1
AARON MURPHY,40447.0,4273.4400000000005,2
AARON MURRAY,79739.0,5930.52,2
AARON MYERS,26964.0,3644.26,1
AARON NAVARRO,22007.0,1499.58,1
AARON NEAL,41570.0,6202.1,1
AARON NELSON,22123.0,3204.61,1
AARON NICHOLS,45447.0,6185.03,1
AARON NICHOLSON,36489.0,2436.47,1
AARON OBRIEN,24252.0,2992.13,1
AARON OCHOA,12785.0,1191.4,1
AARON OCONNOR,47299.0,4477.24,1
AARON OLSON,36697.0,3234.88,1
AARON OWEN,20336.0,2898.38,1
AARON OWENS,32383.0,2580.83,1
AARON PADILLA,15193.0,1486.55,1
AARON PALMER,35948.0,4443.91,2
AARON PARKER,97820.0,8780.39,4
AARON PAUL,27462.0,3756.3,1
AARON PERKINS,25674.0,3801.53,1
AARON PERRY,27550.0,2309.15,1
AARON PETERSEN,39687.0,2876.51,1
AARON PETERSON,43664.0,3049.41,2
AARON PHELPS,23348.0,2478.85,1
AARON PHILLIPS,86764.0,8673.93,3
AARON PORTER,28505.0,2119.27,1
AARON POWELL,46689.0,5982.51,1
AARON PRATT DDS,43165.0,6280.07,1
AARON QUINN,35342.0,4630.07,1
AARON RAMIREZ,107980.0,12071.38,4
AARON RAMOS,47755.0,3087.41,1
AARON RAY,31579.0,2729.18,1
AARON REESE,34788.0,4966.92,1
AARON REYES,19331.0,2418.83,1
AARON RICH,16186.0,1143.26,1
AARON RICHARDSON,71664.0,7637.28,2
AARON RICHMOND,22937.0,1741.7,1
AARON RILEY,20392.0,2179.33,1
AARON RIOS,22460.0,1869.06,1
AARON RITTER,19337.0,1414.49,1
AARON RIVERA,71902.0,8844.08,2
AARON ROBBINS,38999.0,3995.31,1
AARON ROBERTSON,47469.0,3366.12,1
AARON ROBINSON,81884.0,9745.74,4
AARON RODRIGUEZ,103995.0,10892.12,4
AARON ROJAS,33262.0,3490.92,1
AARON ROSE,24003.0,3444.51,1
AARON ROSE II,19499.0,1362.11,1
AARON ROWLAND,43323.0,2769.63,1
AARON RUIZ,41831.0,4750.96,1
AARON RUSSELL,14593.0,1057.63,1
AARON RUSSO,37310.0,2861.46,1
AARON RYAN,45193.0,4266.69,2
AARON SALAZAR,20543.0,1294.86,1
AARON SANDERS,38790.0,3070.92,1
AARON SANTIAGO,32868.0,2250.82,1
AARON SCHMIDT,28181.0,1581.97,1
AARON SCHROEDER,34484.0,3972.06,2
AARON SCHULTZ,43268.0,4609.1,1
AARON SCOTT,152185.0,15630.83,5
AARON SELLERS,31325.0,2040.07,1
AARON SERRANO,77076.0,5260.889999999999,2
AARON SHAW,71572.0,5854.81,2
AARON SHELTON,19609.0,2579.03,1
AARON SILVA,15836.0,1790.01,1
AARON SIMPSON,43570.0,4263.65,1
AARON SINGH,38438.0,2423.95,1
AARON SMITH,269807.0,26187.01,8
AARON SMITH MD,53393.0,7102.34,2
AARON SNYDER,19786.0,1557.73,1
AARON SOLOMON,34025.0,2895.31,1
AARON SOTO,35231.0,4570.16,1
AARON SPENCER,58339.0,3785.32,2
AARON STAFFORD,11597.0,1487.67,1
AARON STANTON,40199.0,2991.05,1
AARON STARK,45979.0,3655.32,1
AARON STEELE,20252.0,1448.41,1
AARON STEIN,25336.0,3393.76,1
AARON STEPHENS,33288.0,4643.54,1
AARON STEVENSON,16647.0,1003.98,1
AARON STEWART,60333.0,6383.96,3
AARON STOKES,32388.0,2560.75,1
AARON STONE,15592.0,1298.13,1
AARON STRONG,23606.0,2262.19,1
AARON SULLIVAN,80808.0,10457.32,2
AARON TAYLOR,67866.0,7214.889999999999,2
AARON TAYLOR PHD,21569.0,2473.26,1
AARON THOMAS,78678.0,9173.31,3
AARON THOMPSON,116800.0,10559.53,3
AARON THORNTON,16920.0,1199.86,1
AARON TORRES,73486.0,9285.28,2
AARON TRAN,36759.0,3959.27,2
AARON TRAVIS,12714.0,1898.98,1
AARON TRUJILLO,21953.0,2647.53,1
AARON TUCKER,44521.0,5379.96,2
AARON TURNER,116452.0,13082.04,3
AARON VALENTINE,29058.0,3288.88,1
AARON VANG,34058.0,4644.36,1
AARON VAUGHN,14634.0,2183.13,1
AARON VAZQUEZ,47975.0,4950.05,1
AARON VILLA,18622.0,2396.24,1
AARON VILLARREAL,11476.0,1168.79,1
AARON WADE,43691.0,2485.95,1
AARON WALKER,17807.0,1626.77,1
AARON WALLACE,49741.0,5767.4,1
AARON WARD,24262.0,2928.91,1
AARON WARE,23845.0,1229.17,1
AARON WARREN,37055.0,3016.18,1
AARON WASHINGTON,21973.0,2953.35,1
AARON WATSON,63004.0,7457.0,3
AARON WATTS,29319.0,2954.92,1
AARON WELLS,23770.0,1947.42,1
AARON WEST,22815.0,2924.78,1
AARON WHEELER,128159.0,14157.23,3
AARON WHITE,184946.0,12518.73,6
AARON WHITEHEAD,10909.0,1180.28,1
AARON WILLIAMS,90531.0,11550.02,4
AARON WILSON,141026.0,15802.010000000002,4
AARON WISE II,43822.0,2509.7,1
AARON WONG,43115.0,3540.14,1
AARON WOOD,29004.0,2563.4,2
AARON WRIGHT,56426.0,4897.139999999999,2
AARON YANG,44833.0,6292.42,1
AARON YOUNG,84842.0,6273.61,4
ABIGAIL AGUIRRE,24278.0,1957.5,1
ABIGAIL ANDERSON,38831.0,3820.97,1
ABIGAIL BAKER,117443.0,11613.69,3
ABIGAIL BALDWIN,49034.0,6307.79,1
ABIGAIL BANKS,35749.0,4220.49,1
ABIGAIL BARKER,44200.0,5349.18,1
ABIGAIL BATES,27393.0,3041.33,1
ABIGAIL BRADY,38133.0,3945.14,1
ABIGAIL BRIGHT,43318.0,3738.44,1
ABIGAIL BROOKS,54533.0,4814.51,2
ABIGAIL BROWN,94753.0,8690.98,3
ABIGAIL BURTON,34186.0,3595.65,1
ABIGAIL CALDWELL,21228.0,2896.74,1
ABIGAIL CAMERON,44281.0,6539.97,1
ABIGAIL CHAMBERS,29202.0,2284.71,1
ABIGAIL CHANEY,32064.0,2375.18,1
ABIGAIL CHEN,39648.0,3592.37,1
ABIGAIL CLAY,22711.0,1925.1,1
ABIGAIL COFFEY,41508.0,2122.47,1
ABIGAIL COLEMAN,15655.0,1490.6,1
ABIGAIL COX,85618.0,6493.28,2
ABIGAIL CRUZ,30913.0,2411.43,1
ABIGAIL DAVIS,46336.0,3452.44,1
ABIGAIL DAWSON,44767.0,2543.5,1
ABIGAIL DEAN,34859.0,3128.15,1
ABIGAIL DELGADO,43154.0,2194.73,1
ABIGAIL DONOVAN,15230.0,2220.85,1
ABIGAIL FARRELL,17829.0,2500.08,1
ABIGAIL GIBSON,35787.0,3588.99,1
ABIGAIL GILBERT,17613.0,1072.56,1
ABIGAIL GREEN,37201.0,3142.95,1
ABIGAIL GUTIERREZ,18394.0,982.47,1
ABIGAIL HAMILTON,40871.0,3806.78,1
ABIGAIL HENDERSON,44763.0,4724.1,1
ABIGAIL HENSLEY,27489.0,3910.84,1
ABIGAIL HERMAN,11011.0,1389.63,1
ABIGAIL HERNANDEZ,54842.0,5717.72,2
ABIGAIL HICKS,39063.0,3394.56,1
ABIGAIL HOLLAND,12914.0,1799.98,1
ABIGAIL HOWARD,37102.0,3247.12,1
ABIGAIL HOWE,26319.0,1870.22,1
ABIGAIL JACKSON,30889.0,4511.19,1
ABIGAIL JACOBS,24685.0,2185.49,1
ABIGAIL JAMES,44425.0,2822.13,1
ABIGAIL JENNINGS,37408.0,2849.65,1
ABIGAIL JIMENEZ,25466.0,3315.57,1
ABIGAIL JONES,34969.0,3655.23,1
ABIGAIL JOYCE DDS,45330.0,5382.96,1
ABIGAIL KELLY,39582.0,4052.63,1
ABIGAIL KENNEDY,12605.0,1804.75,1
ABIGAIL LAM,26793.0,3793.86,1
ABIGAIL LARA,45844.0,4484.45,1
ABIGAIL LAWSON,47147.0,3995.25,1
ABIGAIL LEE,122359.0,12379.65,4
ABIGAIL LESTER,20628.0,1596.47,1
ABIGAIL LEWIS,26468.0,2295.79,1
ABIGAIL LOGAN,17755.0,2118.43,1
ABIGAIL LOPEZ,38887.0,5367.97,1
ABIGAIL LUNA,18594.0,1655.93,1
ABIGAIL MARTIN,14106.0,1658.16,1
ABIGAIL MARTINEZ DDS,14160.0,1587.26,1
ABIGAIL MAYER,17252.0,2576.48,1
ABIGAIL MCKENZIE,39770.0,3342.19,1
ABIGAIL MILLER,27307.0,1795.31,1
ABIGAIL MITCHELL,49604.0,7331.12,1
ABIGAIL MORALES,18232.0,2298.27,1
ABIGAIL MORAN,31253.0,3887.73,1
ABIGAIL MORGAN,49519.0,4474.58,1
ABIGAIL MOYER,29887.0,1906.35,1
ABIGAIL MULLINS,33091.0,4056.01,1
ABIGAIL MYERS,42400.0,4958.0,1
ABIGAIL NELSON MD,47442.0,3244.26,1
ABIGAIL NGUYEN,20244.0,2841.48,1
ABIGAIL NORMAN,17333.0,1447.15,1
ABIGAIL OLIVER,15850.0,1516.36,1
ABIGAIL OLSON,31113.0,3278.45,1
ABIGAIL PADILLA,37280.0,5375.28,1
ABIGAIL PARKS,29396.0,2055.54,1
ABIGAIL PATEL,40105.0,2909.21,1
ABIGAIL PAYNE,46765.0,4716.7,1
ABIGAIL PENNINGTON,24346.0,2526.17,1
ABIGAIL PERKINS DVM,22668.0,2821.59,1
ABIGAIL PETERS,13920.0,1737.18,1
ABIGAIL PETERSON,41932.0,2977.11,1
ABIGAIL PHILLIPS,48282.0,4758.99,1
ABIGAIL POLLARD,49890.0,3686.61,1
ABIGAIL POWELL,28808.0,3608.46,1
ABIGAIL PROCTOR,10210.0,814.71,1
ABIGAIL RAY,88537.0,6889.56,2
ABIGAIL REED,72314.0,10034.47,2
ABIGAIL REILLY,35779.0,2640.55,1
ABIGAIL RICH,24194.0,2380.26,1
ABIGAIL ROBERTSON,31659.0,2512.84,1
ABIGAIL ROBINSON,91947.0,9053.96,2
ABIGAIL RODRIGUEZ,46524.0,5196.43,1
ABIGAIL ROGERS,48587.0,4101.18,1
ABIGAIL ROJAS,25906.0,1637.37,1
ABIGAIL ROSS,46970.0,3795.95,1
ABIGAIL ROWE,17835.0,1504.47,1
ABIGAIL RUIZ DDS,26378.0,2378.77,1
ABIGAIL RUSSELL,15421.0,1119.28,1
ABIGAIL SANCHEZ,27433.0,2399.35,1
ABIGAIL SCOTT,79218.0,5769.72,3
ABIGAIL SHELTON,47155.0,2492.58,1
ABIGAIL SHEPPARD,21798.0,1676.77,1
ABIGAIL SMITH,65780.0,8772.539999999999,2
ABIGAIL SNYDER,48331.0,6376.17,1
ABIGAIL STEPHENS,46781.0,3168.02,1
ABIGAIL STEVENS,28594.0,1624.43,1
ABIGAIL STEWART,45279.0,5770.42,2
ABIGAIL SULLIVAN,35429.0,5278.14,1
ABIGAIL TATE,27759.0,1583.65,1
ABIGAIL THOMPSON,47563.0,4637.2,1
ABIGAIL TORRES,32668.0,3594.23,1
ABIGAIL TUCKER,38302.0,5697.21,1
ABIGAIL TURNER DDS,36125.0,2143.15,1
ABIGAIL WALKER,47813.0,4658.5,2
ABIGAIL WALTERS,39941.0,5030.51,1
ABIGAIL WARNER,19297.0,2036.29,1
ABIGAIL WATERS,18365.0,2243.8,1
ABIGAIL WILLIAMS,165176.0,16719.34,5
ABIGAIL WILSON,72024.0,8431.539999999999,3
ABIGAIL WOOD,30129.0,3843.75,1
ABIGAIL WRIGHT,92430.0,9848.509999999998,2
ADAM ACOSTA,21167.0,1797.12,1
ADAM ADAMS,21366.0,1483.79,1
ADAM AGUILAR,39008.0,2912.76,1
ADAM AGUIRRE,43908.0,6337.13,1
ADAM ALEXANDER,48676.0,5242.02,2
ADAM ALLEN,131812.0,13978.75,5
ADAM ALVARADO,61234.0,5175.45,2
ADAM ALVAREZ,38608.0,2944.2,2
ADAM ANDERSON,179693.0,21055.84,5
ADAM ANDREWS,39755.0,3767.12,2
ADAM ATKINSON,16553.0,1788.61,1
ADAM AUSTIN,34979.0,2369.52,1
ADAM AYALA,14310.0,2016.92,1
ADAM BAILEY,14592.0,1906.29,1
ADAM BAIRD,14346.0,1018.54,1
ADAM BAKER,43774.0,4738.61,2
ADAM BALLARD,38964.0,2645.84,1
ADAM BARNES,109793.0,13686.13,3
ADAM BARR,51910.0,6825.53,2
ADAM BARRY,17974.0,1665.75,1
ADAM BARTLETT,33421.0,3838.68,1
ADAM BAUTISTA,24383.0,3200.68,1
ADAM BENNETT,34757.0,2320.12,1
ADAM BENSON,75516.0,7880.92,2
ADAM BERRY,14373.0,1031.19,1
ADAM BISHOP,17540.0,1221.64,1
ADAM BONILLA,21424.0,2460.13,1
ADAM BOONE,42873.0,5552.48,1
ADAM BOOTH,32529.0,4424.72,1
ADAM BRAY,22473.0,1860.14,1
ADAM BRENNAN,44398.0,6086.77,1
ADAM BROCK,30409.0,2098.02,1
ADAM BROOKS,45837.0,6278.4,1
ADAM BROWN,338459.0,33913.46,11
ADAM BUCK,80267.0,8411.23,2
ADAM BUTLER,123902.0,9140.45,3
ADAM CAMACHO,25969.0,3520.75,1
ADAM CAMPBELL,19783.0,1568.24,1
ADAM CANTRELL,37484.0,3421.19,1
ADAM CANTU,39478.0,2244.39,1
ADAM CARDENAS,41423.0,4427.91,1
ADAM CARLSON,42344.0,2173.05,1
ADAM CARNEY,10690.0,966.53,1
ADAM CARPENTER,25897.0,3085.18,1
ADAM CARROLL,27550.0,2374.75,1
ADAM CASEY,58246.0,4150.18,2
ADAM CASTILLO,22171.0,1750.62,1
ADAM CHAVEZ,54942.0,4334.65,2
ADAM CHUNG,25573.0,2123.63,1
ADAM CLARK,44176.0,2928.87,1
ADAM CLARKE,89846.0,12901.56,2
ADAM COLE,43708.0,4821.73,1
ADAM COLLINS,71590.0,6330.41,2
ADAM COLON,40929.0,3023.65,1
ADAM CONLEY,88933.0,6184.780000000001,2
ADAM CONTRERAS,34880.0,3065.29,1
ADAM COOK,99597.0,9637.58,3
ADAM COOPER,44760.0,4809.67,1
ADAM COSTA,13730.0,2031.09,1
ADAM COX,108434.0,10917.42,3
ADAM CROSS,15770.0,2320.02,1
ADAM DAVIS,191204.0,18069.07,7
ADAM DENNIS,32826.0,4697.4,1
ADAM DOUGLAS,47433.0,3881.64,2
ADAM DOYLE,11248.0,594.6,1
ADAM DUNLAP,28667.0,3369.5,1
ADAM DUNN,32144.0,3996.04,1
ADAM ERICKSON,43235.0,5404.89,1
ADAM ESCOBAR,38251.0,3146.33,1
ADAM ESPINOZA,19224.0,1669.11,1
ADAM EVANS,31047.0,4469.51,1
ADAM EWING,10730.0,1431.31,1
ADAM FERRELL,45608.0,6835.95,1
ADAM FISCHER,29398.0,2506.39,1
ADAM FITZGERALD,39653.0,5462.22,1
ADAM FLEMING,22558.0,1592.03,1
ADAM FLOYD,40750.0,5970.64,1
ADAM FRANCO,17347.0,1928.68,1
ADAM FRANKLIN,12676.0,1742.53,1
ADAM FRAZIER,15365.0,1589.63,1
ADAM FREY,14098.0,836.09,1
ADAM GARCIA,98004.0,12760.68,3
ADAM GARDNER,13135.0,1759.36,1
ADAM GARDNER PHD,27701.0,3436.37,1
ADAM GARRISON,34600.0,4660.87,1
ADAM GIBSON,43407.0,4080.49,2
ADAM GILES,41721.0,5834.73,1
ADAM GLASS,12165.0,1405.56,1
ADAM GOMEZ,47352.0,5842.31,2
ADAM GONZALES,45866.0,3976.85,1
ADAM GONZALEZ,68961.0,7206.809999999999,2
ADAM GOODMAN,24322.0,3080.03,1
ADAM GORDON,120898.0,10709.17,4
ADAM GOULD,17959.0,1696.23,1
ADAM GRAHAM,39627.0,3418.86,1
ADAM GRAVES,35733.0,2782.68,1
ADAM GREEN,65450.0,7090.95,2
ADAM GREENE,31982.0,2134.46,1
ADAM HALL,211901.0,24071.45,5
ADAM HAMILTON,114268.0,11802.5,3
ADAM HAMPTON,18351.0,2625.2,1
ADAM HANEY,47952.0,2503.66,1
ADAM HANSEN,21396.0,1993.54,1
ADAM HARPER,39291.0,4499.92,1
ADAM HARRIS,169539.0,13581.01,5
ADAM HART,18078.0,1264.08,1
ADAM HARVEY,85718.0,6185.27,2
ADAM HAWKINS,67474.0,7011.27,2
ADAM HAYES,52791.0,7074.77,2
ADAM HAYS IV,10331.0,811.06,1
ADAM HENDERSON,65625.0,5446.450000000001,2
ADAM HENRY,12994.0,1240.85,1
ADAM HERNANDEZ,92111.0,10832.53,3
ADAM HERRERA,33353.0,2478.72,1
ADAM HERRING JR.,43711.0,3875.37,1
ADAM HICKS,37694.0,3111.99,1
ADAM HIGGINS,29494.0,1570.17,1
ADAM HILL,72928.0,5096.56,2
ADAM HINES,58388.0,5092.65,2
ADAM HO,25511.0,1386.94,1
ADAM HODGES,44950.0,6227.54,1
ADAM HOLLOWAY,12635.0,1870.91,1
ADAM HOLMES,28008.0,2542.33,1
ADAM HOOPER,24614.0,1737.46,1
ADAM HORTON,43854.0,5977.2,1
ADAM HOWARD,84100.0,9708.89,3
ADAM HOWELL,31972.0,2458.46,1
ADAM HUANG,41818.0,5043.94,1
ADAM HUBBARD,77579.0,9357.82,2
ADAM HUGHES,14745.0,1294.23,1
ADAM HUNT,48806.0,6264.62,1
ADAM HUNTER,46125.0,2886.19,1
ADAM INGRAM,46714.0,3762.56,2
ADAM JACKSON,46360.0,3843.71,2
ADAM JIMENEZ,47856.0,3747.7,1
ADAM JOHNSON,284145.0,29115.27,10
ADAM JONES,255739.0,28353.76,8
ADAM JOSEPH,25027.0,3662.88,1
ADAM KEITH,46610.0,4370.4,2
ADAM KELLER,41571.0,4264.52,1
ADAM KELLEY,58708.0,5559.95,2
ADAM KENT,10846.0,698.81,1
ADAM KIM,43910.0,3230.07,1
ADAM KING,67130.0,4640.17,2
ADAM KLINE,13733.0,1478.18,1
ADAM KOCH,27638.0,2830.27,1
ADAM KRUEGER,33933.0,3526.08,1
ADAM LARSON,69253.0,7245.74,2
ADAM LAWRENCE,100412.0,9563.41,3
ADAM LAWSON,15830.0,1887.73,1
ADAM LEE,130562.0,14213.27,3
ADAM LEONARD,42903.0,3832.34,1
ADAM LEWIS,184577.0,20086.27,5
ADAM LI,14321.0,1891.09,1
ADAM LIVINGSTON,65697.0,6126.71,2
ADAM LOGAN,41042.0,3308.63,1
ADAM LONG,19694.0,2443.85,1
ADAM LOPEZ,102897.0,10847.64,3
ADAM LOWE,46589.0,4989.68,2
ADAM LOWERY,49543.0,4866.38,2
ADAM LUCAS,31881.0,4028.54,2
ADAM MACIAS,21853.0,1652.78,1
ADAM MACK,46510.0,2326.43,1
ADAM MARKS,14771.0,1439.82,1
ADAM MARQUEZ,23566.0,1634.59,1
ADAM MARSH,14592.0,877.39,1
ADAM MARTIN,114296.0,13039.58,3
ADAM MARTINEZ,112318.0,15338.23,4
ADAM MCCALL,29009.0,2460.21,1
ADAM MCCOY,81293.0,8295.27,2
ADAM MCDONALD,63863.0,7336.63,2
ADAM MCGEE,76432.0,7482.37,2
ADAM MCKAY,22929.0,3108.04,1
ADAM MCMILLAN,29408.0,3328.87,1
ADAM MENDOZA,120638.0,10841.32,4
ADAM MILLER,141216.0,13725.44,6
ADAM MILLS,36210.0,3621.28,1
ADAM MIRANDA,31613.0,2720.46,1
